"year","duration","years","track","artist"
"2010","4.75","Years 2010-2019","A Thousand Years","Christina Perri"
"2010","4.68","Years 2010-2019","It Won't Stop","Sevyn Streeter Featuring Chris Brown"
"2010","3.26","Years 2010-2019","This Girl","Kungs vs Cookin' On 3 Burners"
"2010","3.33","Years 2010-2019","Baby Be My Love Song","Easton Corbin"
"2010","3.26","Years 2010-2019","Whip My Hair","WILLOW"
"2010","5.11","Years 2010-2019","Birthday Song","2 Chainz Featuring Kanye West"
"2010","2.56","Years 2010-2019","Uber Everywhere","MadeinTYO"
"2010","2.27","Years 2010-2019","KIKA","6ix9ine Featuring Tory Lanez"
"2010","2.61","Years 2010-2019","Happy Holiday / The Holiday Season","Andy Williams"
"2010","2.13","Years 2010-2019","Cups (Pitch Perfect's When I'm Gone)","Anna Kendrick"
"2010","3.5","Years 2010-2019","Blackout","Breathe Carolina"
"2010","4.12","Years 2010-2019","Wake Me Up!","Avicii"
"2010","4.81","Years 2010-2019","I'm The One","""DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne"""
"2010","5","Years 2010-2019","Collard Greens","ScHoolboy Q Featuring Kendrick Lamar"
"2010","3.82","Years 2010-2019","Highway 20 Ride","Zac Brown Band"
"2010","4.23","Years 2010-2019","Black Barbies","Nicki Minaj X Mike WiLL Made-It"
"2010","3.89","Years 2010-2019","The Walker","Fitz And The Tantrums"
"2010","4.8","Years 2010-2019","Not Alike","Eminem Featuring Royce Da 5'9"
"2010","3.22","Years 2010-2019","Made In America","Toby Keith"
"2010","2.73","Years 2010-2019","Roxanne","Arizona Zervas"
"2010","3.63","Years 2010-2019","Call You Mine","The Chainsmokers & Bebe Rexha"
"2010","4.35","Years 2010-2019","Versace On The Floor","Bruno Mars"
"2010","3.45","Years 2010-2019","Adore You","Harry Styles"
"2010","5.22","Years 2010-2019","Blunt Blowin","Lil Wayne"
"2010","3.75","Years 2010-2019","Liquor","Chris Brown"
"2010","4.33","Years 2010-2019","No Brainer","""DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo"""
"2010","3.1","Years 2010-2019","It Goes Like This","Thomas Rhett"
"2010","3.48","Years 2010-2019","Element.","Kendrick Lamar"
"2010","3.13","Years 2010-2019","The Weekend","Brantley Gilbert"
"2010","3.44","Years 2010-2019","Irresistible","Fall Out Boy"
"2010","3.06","Years 2010-2019","Money","Cardi B"
"2010","3.6","Years 2010-2019","Man Of The Year","ScHoolboy Q"
"2010","3.64","Years 2010-2019","On The Road","Post Malone Featuring Meek Mill & Lil Baby"
"2010","3.72","Years 2010-2019","Delirious (Boneless)","""Steve Aoki, Chris Lake & Tujamo Featuring Kid Ink"""
"2010","3.69","Years 2010-2019","Crying On A Suitcase","Casey James"
"2010","3.84","Years 2010-2019","Wop","J. Dash"
"2010","4.16","Years 2010-2019","Yeah Ya Know (Takers)","T.I."
"2010","3.74","Years 2010-2019","Worth It","Fifth Harmony Featuring Kid Ink"
"2010","4.74","Years 2010-2019","I Don't F**k With You","Big Sean Featuring E-40"
"2010","2.82","Years 2010-2019","Valuable Pain","YoungBoy Never Broke Again"
"2010","3.82","Years 2010-2019","Crazy Kids","Ke$ha Featuring will.i.am Or Juicy J"
"2010","3.68","Years 2010-2019","Got Your Back","T.I. Featuring Keri Hilson"
"2010","2.9","Years 2010-2019","One Dance","Drake Featuring WizKid & Kyla"
"2010","3.05","Years 2010-2019","Ain't No Stopping Us Now","Kane Brown"
"2010","3.16","Years 2010-2019","Wild Child","Kenny Chesney With Grace Potter"
"2010","3.34","Years 2010-2019","I'm Gonna Be","Post Malone"
"2010","3.58","Years 2010-2019","You Lie","The Band Perry"
"2010","3.8","Years 2010-2019","Christmas Tree Farm","Taylor Swift"
"2010","3.88","Years 2010-2019","Down That Road","Alisan Porter"
"2010","3.26","Years 2010-2019","Who Says","Selena Gomez & The Scene"
"2010","3.37","Years 2010-2019","Party In The U.S.A.","Miley Cyrus"
"2010","3.73","Years 2010-2019","The Champion","Carrie Underwood Featuring Ludacris"
"2010","3.89","Years 2010-2019","Over","Drake"
"2010","3.77","Years 2010-2019","May We All","Florida Georgia Line Featuring Tim McGraw"
"2010","4.3","Years 2010-2019","El Farsante","Ozuna & Romeo Santos"
"2010","3.18","Years 2010-2019","Youth","Shawn Mendes Featuring Khalid"
"2010","3.49","Years 2010-2019","Anywhere With You","Jake Owen"
"2010","3.49","Years 2010-2019","Team","Iggy Azalea"
"2010","4.37","Years 2010-2019","She Don't Love You","Eric Paslay"
"2010","4.2","Years 2010-2019","Dog Days Are Over","Florence + The Machine"
"2010","3.39","Years 2010-2019","I Will Never Let You Down","Rita Ora"
"2010","3.65","Years 2010-2019","High School","Nicki Minaj Featuring Lil Wayne"
"2010","2.91","Years 2010-2019","Let Me Go","Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt"
"2010","0.99","Years 2010-2019","Levels","Avicii"
"2010","3.6","Years 2010-2019","Adore","Cashmere Cat Featuring Ariana Grande"
"2010","3.39","Years 2010-2019","Wild Wild Love","Pitbull Featuring G.R.L."
"2010","3.68","Years 2010-2019","Believe","Mumford & Sons"
"2010","3.04","Years 2010-2019","Singles You Up","Jordan Davis"
"2010","3.27","Years 2010-2019","Drive By","Train"
"2010","4.45","Years 2010-2019","All Kinds Of Kinds","Miranda Lambert"
"2010","3.49","Years 2010-2019","I Like The Sound Of That","Rascal Flatts"
"2010","5.89","Years 2010-2019","Take Back The Night","Justin Timberlake"
"2010","3.2","Years 2010-2019","Song For Another Time","Old Dominion"
"2010","3.3","Years 2010-2019","I Won't Give Up","Jana Kramer"
"2010","3.2","Years 2010-2019","CRZY","Kehlani"
"2010","3.01","Years 2010-2019","Airplanes","B.o.B Featuring Hayley Williams"
"2010","3.07","Years 2010-2019","Trampoline","SHAED"
"2010","4.22","Years 2010-2019","I Like It","""Cardi B, Bad Bunny & J Balvin"""
"2010","4.45","Years 2010-2019","New Level","A$AP Ferg Featuring Future"
"2010","2.79","Years 2010-2019","Barefoot Blue Jean Night","Jake Owen"
"2010","4.94","Years 2010-2019","I'm On One","""DJ Khaled Featuring Drake, Rick Ross & Lil Wayne"""
"2010","4.18","Years 2010-2019","GIRL","Maren Morris"
"2010","3.97","Years 2010-2019","Sup Mate","Young Thug Featuring Future"
"2010","2.82","Years 2010-2019","Transportin'","Kodak Black"
"2010","3.22","Years 2010-2019","Church Bells","Carrie Underwood"
"2010","4.35","Years 2010-2019","Born This Way","Lady Gaga"
"2010","4.52","Years 2010-2019","Little Miss","Sugarland"
"2010","2.62","Years 2010-2019","I Love It","Icona Pop Featuring Charli XCX"
"2010","3.05","Years 2010-2019","Only Human","Jonas Brothers"
"2010","3.71","Years 2010-2019","Hurricane","Luke Combs"
"2010","3.96","Years 2010-2019","No Lie","2 Chainz Featuring Drake"
"2010","2.18","Years 2010-2019","""If I'm Lyin, I'm Flyin""","Kodak Black"
"2010","3.02","Years 2010-2019","Sleigh Ride","The Ronettes"
"2010","3.83","Years 2010-2019","God Gave Me You","Blake Shelton"
"2010","3.78","Years 2010-2019","Whip","2 Chainz Featuring Travis Scott"
"2010","3.99","Years 2010-2019","CoCo","O.T. Genasis"
"2010","3.29","Years 2010-2019","Talk","Khalid"
"2010","3.53","Years 2010-2019","Love Someone","Brett Eldredge"
"2010","2.85","Years 2010-2019","My Oh My","Camila Cabello Featuring DaBaby"
"2010","4.07","Years 2010-2019","Greenlight","Pitbull Featuring Flo Rida & LunchMoney Lewis"
"2010","3.39","Years 2010-2019","Space Cadet","Metro Boomin Featuring Gunna"
"2010","3.96","Years 2010-2019","Capsize","Frenship & Emily Warren"
"2010","3.33","Years 2010-2019","What Lovers Do","Maroon 5 Featuring SZA"
"2010","2.66","Years 2010-2019","The Big Bang","Katy Tiz"
"2010","4","Years 2010-2019","September","Daughtry"
"2010","4.45","Years 2010-2019","We No Speak Americano","Yolanda Be Cool & Dcup"
"2010","3.07","Years 2010-2019","Written In The Sand","Old Dominion"
"2010","5.1","Years 2010-2019","Hail To The King","Avenged Sevenfold"
"2010","3.41","Years 2010-2019","Believer","Imagine Dragons"
"2010","4.64","Years 2010-2019","Sweet Annie","Zac Brown Band"
"2010","4.16","Years 2010-2019","Good Kisser","Usher"
"2010","3.24","Years 2010-2019","There Was This Girl","Riley Green"
"2010","4.46","Years 2010-2019","Waiting For Superman","Daughtry"
"2010","3.47","Years 2010-2019","Waves","Mr. Probz"
"2010","3.85","Years 2010-2019","We Can't Stop","Miley Cyrus"
"2010","2.71","Years 2010-2019","M.I.L.F. $","Fergie"
"2010","2.72","Years 2010-2019","Body","Loud Luxury Featuring Brando"
"2010","3.29","Years 2010-2019","I'm Comin' Over","Chris Young"
"2010","3.52","Years 2010-2019","Billionaire","Glee Cast"
"2010","4","Years 2010-2019","As Your Friend","Afrojack Featuring Chris Brown"
"2010","3.95","Years 2010-2019","Big Bank","""YG Featuring 2 Chainz, Big Sean & Nicki Minaj"""
"2010","3.35","Years 2010-2019","Something New","Wiz Khalifa Featuring Ty Dolla $ign"
"2010","3.75","Years 2010-2019","American Honey","Lady Antebellum"
"2010","3.05","Years 2010-2019","XO TOUR Llif3","Lil Uzi Vert"
"2010","3.87","Years 2010-2019","Come & Get It","Selena Gomez"
"2010","3.6","Years 2010-2019","Kamikaze","Eminem"
"2010","3.86","Years 2010-2019","Real Hitta","Plies Featuring Kodak Black"
"2010","3.26","Years 2010-2019","Cruisin' For A Bruisin'","""Ross Lynch, Grace Phipps And Jason Evigan"""
"2010","3.1","Years 2010-2019","Numb","XXXTENTACION"
"2010","3.49","Years 2010-2019","Replay","Zendaya"
"2010","4.62","Years 2010-2019","Empire State Of Mind","Glee Cast"
"2010","3.52","Years 2010-2019","Alone With You","Jake Owen"
"2010","3.51","Years 2010-2019","Heart Attack","Demi Lovato"
"2010","2.8","Years 2010-2019","Can't Be Tamed","Miley Cyrus"
"2010","3.93","Years 2010-2019","Only Girl (In The World)","Rihanna"
"2010","3.03","Years 2010-2019","Freaks","French Montana Featuring Nicki Minaj"
"2010","3.13","Years 2010-2019","Castaway","Zac Brown Band"
"2010","2.43","Years 2010-2019","All Mine","Kanye West"
"2010","4.03","Years 2010-2019","Mr. Wrong","Mary J. Blige Featuring Drake"
"2010","3.75","Years 2010-2019","Even Though I'm Leaving","Luke Combs"
"2010","3.34","Years 2010-2019","This Ain't No Love Song","Trace Adkins"
"2010","2.72","Years 2010-2019","Ho Hey","The Lumineers"
"2010","2.33","Years 2010-2019","NBAYoungboat","Lil Yachty Featuring NBA YoungBoy"
"2010","2.62","Years 2010-2019","One Way Or Another (Teenage Kicks)","One Direction"
"2010","3.68","Years 2010-2019","Telephone","Lady Gaga Featuring Beyonce"
"2010","3.71","Years 2010-2019","Summer","Calvin Harris"
"2010","2.94","Years 2010-2019","Games","Luke Bryan"
"2010","4.74","Years 2010-2019","Tapout","""Rich Gang Featuring Lil Wayne, Birdman, Future, Mack Maine, Nicki Minaj"""
"2010","3.73","Years 2010-2019","Look At You","Big & Rich"
"2010","2.5","Years 2010-2019","Crushed Up","Future"
"2010","8.68","Years 2010-2019","Purple Rain","Prince And The Revolution"
"2010","3.37","Years 2010-2019","She Looks So Perfect","5 Seconds Of Summer"
"2010","4.75","Years 2010-2019","Levitate","Hadouken!"
"2010","3.93","Years 2010-2019","Headlines","Drake"
"2010","2.48","Years 2010-2019","Make No Sense","YoungBoy Never Broke Again"
"2010","3.48","Years 2010-2019","Crew Love","Drake Featuring The Weeknd"
"2010","3.87","Years 2010-2019","Carry Out","Timbaland Featuring Justin Timberlake"
"2010","3.63","Years 2010-2019","Buzzkill","Luke Bryan"
"2010","3.58","Years 2010-2019","She Knows","Ne-Yo Featuring Juicy J"
"2010","3.54","Years 2010-2019","Take Back Home Girl","Chris Lane Featuring Tori Kelly"
"2010","3.69","Years 2010-2019","Rumour Has It","Adele"
"2010","3.45","Years 2010-2019","Goodnight Kiss","Randy Houser"
"2010","2.24","Years 2010-2019","EW!","Jimmy Fallon Featuring will.i.am"
"2010","3.03","Years 2010-2019","Graveyard","Halsey"
"2010","2.53","Years 2010-2019","When I Get You Alone","Glee Cast"
"2010","3.57","Years 2010-2019","Trip","Ella Mai"
"2010","3.81","Years 2010-2019","Can't Have Everything","Drake"
"2010","5.57","Years 2010-2019","Tell Your Friends","The Weeknd"
"2010","4.46","Years 2010-2019","The Only Exception","Paramore"
"2010","3.92","Years 2010-2019","Booty Wurk (One Cheek At A Time)","T-Pain Featuring Joey Galaxy"
"2010","2.92","Years 2010-2019","""Hold On, We're Going Home""","Christina Grimmie"
"2010","3.3","Years 2010-2019","Main Chick","Kid Ink Featuring Chris Brown"
"2010","3.52","Years 2010-2019","Shake Me Down","Cage The Elephant"
"2010","4.07","Years 2010-2019","Gorilla","Bruno Mars"
"2010","4.09","Years 2010-2019","For You (Fifty Shades Freed)","Liam Payne & Rita Ora"
"2010","6.05","Years 2010-2019","When I See This Bar","Kenny Chesney"
"2010","3.33","Years 2010-2019","You Da One","Rihanna"
"2010","4.56","Years 2010-2019","This Afternoon","Nickelback"
"2010","5.96","Years 2010-2019","Forever","""Drake Featuring Kanye West, Lil Wayne & Eminem"""
"2010","3.64","Years 2010-2019","Free Smoke","Drake"
"2010","3.33","Years 2010-2019","Hey Brother","Avicii"
"2010","3.82","Years 2010-2019","Enough Of No Love","Keyshia Cole Featuring Lil Wayne"
"2010","3.78","Years 2010-2019","Never Be The Same","Camila Cabello"
"2010","4.52","Years 2010-2019","Clarity","Zedd Featuring Foxes"
"2010","5.91","Years 2010-2019","Bohemian Rhapsody","Queen"
"2010","2.95","Years 2010-2019","Flatliner","Cole Swindell"
"2010","5.94","Years 2010-2019","Soldier Of Love","Sade"
"2010","3.24","Years 2010-2019","Best Day Of My Life","American Authors"
"2010","4","Years 2010-2019","Love Me Again","John Newman"
"2010","4.1","Years 2010-2019","Put It Down","Brandy Featuring Chris Brown"
"2010","4.22","Years 2010-2019","Beat It","Sean Kingston Featuring Chris Brown & Wiz Khalifa"
"2010","5.13","Years 2010-2019","Lust.","Kendrick Lamar"
"2010","3.85","Years 2010-2019","Use Somebody","Kings Of Leon"
"2010","3","Years 2010-2019","I'm The Plug","Drake & Future"
"2010","2.64","Years 2010-2019","Monopoly","Ariana Grande & Victoria Monet"
"2010","2.97","Years 2010-2019","Everything I Shouldn't Be Thinking About","Thompson Square"
"2010","2.78","Years 2010-2019","Pop Out","Polo G Featuring Lil Tjay"
"2010","3.17","Years 2010-2019","Backin' It Up","Pardison Fontaine Featuring Cardi B"
"2010","3.59","Years 2010-2019","Round Here","Florida Georgia Line"
"2010","3.16","Years 2010-2019","Only Prettier","Miranda Lambert"
"2010","4.14","Years 2010-2019","When I Look At You","Miley Cyrus"
"2010","2.36","Years 2010-2019","We Know The Way","Opetaia Foa'i & Lin-Manuel Miranda"
"2010","3.56","Years 2010-2019","Baby By Me","50 Cent Featuring Ne-Yo"
"2010","5.2","Years 2010-2019","Again","Fetty Wap"
"2010","4.1","Years 2010-2019","Love Sosa","Chief Keef"
"2010","3.12","Years 2010-2019","Thunderclouds","""Labrinth, Sia & Diplo Present... LSD"""
"2010","4.43","Years 2010-2019","Round Of Applause","Waka Flocka Flame Featuring Drake"
"2010","3.93","Years 2010-2019","My PYT","Wale"
"2010","5.81","Years 2010-2019","Acquainted","The Weeknd"
"2010","3.93","Years 2010-2019","Girls Like You","Maroon 5 Featuring Cardi B"
"2010","3.2","Years 2010-2019","Good As You","Kane Brown"
"2010","4.64","Years 2010-2019","Crooked Smile","J. Cole Featuring TLC"
"2010","3.38","Years 2010-2019","Wish Wish","DJ Khaled Featuring Cardi B & 21 Savage"
"2010","4.38","Years 2010-2019","Red Roses","Lil Skies Featuring Landon Cube"
"2010","4.02","Years 2010-2019","Midnight City","M83."
"2010","3.65","Years 2010-2019","Reminder","The Weeknd"
"2010","3.5","Years 2010-2019","Heartbeat","Carrie Underwood"
"2010","3.67","Years 2010-2019","White Walls","Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis"
"2010","3.73","Years 2010-2019","Let It Go","Idina Menzel"
"2010","5.18","Years 2010-2019","All Day","""Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney"""
"2010","3.28","Years 2010-2019","Try Everything","Shakira"
"2010","5.29","Years 2010-2019","Burn","Ellie Goulding"
"2010","3.74","Years 2010-2019","Bartier Cardi","Cardi B Featuring 21 Savage"
"2010","3.61","Years 2010-2019","I Need Your Love","""Shaggy Featuring Mohombi, Faydee, Costi"""
"2010","3.24","Years 2010-2019","Spoil My Night","Post Malone Featuring Swae Lee"
"2010","3.6","Years 2010-2019","Whiskey","Jana Kramer"
"2010","3.26","Years 2010-2019","Chantaje","Shakira Featuring Maluma"
"2010","5.4","Years 2010-2019","Mona Lisa","Lil Wayne Featuring Kendrick Lamar"
"2010","3.39","Years 2010-2019","Rack City","Tyga"
"2010","3.57","Years 2010-2019","Baby","Justin Bieber Featuring Ludacris"
"2010","2.58","Years 2010-2019","More Girls Like You","Kip Moore"
"2010","4.2","Years 2010-2019","Hideaway","Kiesza"
"2010","3.71","Years 2010-2019","Look At Me Now","Chris Brown Featuring Lil Wayne & Busta Rhymes"
"2010","3.56","Years 2010-2019","Love.","Kendrick Lamar Featuring Zacari"
"2010","3.58","Years 2010-2019","Birthday","Katy Perry"
"2010","4.06","Years 2010-2019","Take Your Time","Sam Hunt"
"2010","3.62","Years 2010-2019","Make Me Like You","Gwen Stefani"
"2010","3.24","Years 2010-2019","Hell On Heels","Pistol Annies"
"2010","3.3","Years 2010-2019","Don't","Bryson Tiller"
"2010","3.27","Years 2010-2019","Be Alright","Dean Lewis"
"2010","3.17","Years 2010-2019","Back To You","Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals"
"2010","3.1","Years 2010-2019","Tip Toe","Roddy Ricch Featuring A Boogie Wit da Hoodie"
"2010","4.01","Years 2010-2019","How To Love","Lil Wayne"
"2010","3.12","Years 2010-2019","Get Me Some Of That","Thomas Rhett"
"2010","2.83","Years 2010-2019","Real Life","Jake Owen"
"2010","5.75","Years 2010-2019","Self Care","Mac Miller"
"2010","3.91","Years 2010-2019","California Gurls","Katy Perry Featuring Snoop Dogg"
"2010","3.03","Years 2010-2019","The Motto","Drake Featuring Lil Wayne"
"2010","2.11","Years 2010-2019","Look At Me!","XXXTENTACION"
"2000","3.91","Years 2000-2009","T-Shirt","Shontelle"
"2000","6.25","Years 2000-2009","Successful","Drake Featuring Trey Songz & Lil Wayne"
"2000","4.76","Years 2000-2009","My Town","Montgomery Gentry"
"2000","3.44","Years 2000-2009","Summertime","Kenny Chesney"
"2000","3.6","Years 2000-2009","The Time Of My Life","David Cook"
"2000","2.63","Years 2000-2009","Blue Orchid","The White Stripes"
"2000","4.94","Years 2000-2009","The One","Mary J. Blige Featuring Drake"
"2000","4.96","Years 2000-2009","American Life","Madonna"
"2000","2.85","Years 2000-2009","Boots On","Randy Houser"
"2000","4.83","Years 2000-2009","N 2 Gether Now","Limp Bizkit Featuring Method Man"
"2000","4.16","Years 2000-2009","Find A Way","Dwele"
"2000","4.21","Years 2000-2009","If You're Reading This","Tim McGraw"
"2000","3.36","Years 2000-2009","High Maintenance Woman","Toby Keith"
"2000","2.76","Years 2000-2009","Don't Rain On My Parade","Glee Cast"
"2000","3.11","Years 2000-2009","I'm Not Okay (I Promise)","My Chemical Romance"
"2000","3.51","Years 2000-2009","Without You","Dixie Chicks"
"2000","4.68","Years 2000-2009","She Bangs","Ricky Martin"
"2000","5.79","Years 2000-2009","Rubber Band Man","T.I."
"2000","3.9","Years 2000-2009","Kryptonite","3 Doors Down"
"2000","3.74","Years 2000-2009","But For The Grace Of God","Keith Urban"
"2000","5.45","Years 2000-2009","This Is War","Thirty Seconds To Mars"
"2000","2.96","Years 2000-2009","Call Me","Tweet"
"2000","4.05","Years 2000-2009","Tipsy","J-Kwon"
"2000","3.85","Years 2000-2009","You Can't Hide Beautiful","Aaron Lines"
"2000","3.83","Years 2000-2009","South Side","Moby Featuring Gwen Stefani"
"2000","4.91","Years 2000-2009","Rehab","Rihanna"
"2000","3.97","Years 2000-2009","Whiskey Girl","Toby Keith"
"2000","3.68","Years 2000-2009","One More Drink","Ludacris Co-Starring T-Pain"
"2000","3.7","Years 2000-2009","A Milli","Lil Wayne"
"2000","4.64","Years 2000-2009","Girl","Paul Wall"
"2000","3.44","Years 2000-2009","I Just Wanna Be Mad","Terri Clark"
"2000","4.31","Years 2000-2009","Shoulder Lean","Young Dro Featuring T.I."
"2000","2.51","Years 2000-2009","Like Whoa","Aly & AJ"
"2000","3.65","Years 2000-2009","Hate That I Love You","Rihanna Featuring Ne-Yo"
"2000","2.93","Years 2000-2009","What Would You Do?","City High"
"2000","3.37","Years 2000-2009","Party In The U.S.A.","Miley Cyrus"
"2000","3.81","Years 2000-2009","Real Big","Mannie Fresh"
"2000","4.18","Years 2000-2009","Deep Inside Of You","Third Eye Blind"
"2000","3.47","Years 2000-2009","If It's Lovin' That You Want","Rihanna"
"2000","4.03","Years 2000-2009","Just Dance","Lady Gaga Featuring Colby O'Donis"
"2000","2.88","Years 2000-2009","Up!","Shania Twain"
"2000","4.22","Years 2000-2009","I'm Already There","Lonestar"
"2000","3.63","Years 2000-2009","Country Comes To Town","Toby Keith"
"2000","4.42","Years 2000-2009","Wanna Get To Know You","G-Unit Featuring Joe"
"2000","2.92","Years 2000-2009","Who Says","John Mayer"
"2000","4.36","Years 2000-2009","Wait For You","Elliott Yamin"
"2000","4.04","Years 2000-2009","Fade","Staind"
"2000","3.63","Years 2000-2009","Thank You","Dido"
"2000","4.06","Years 2000-2009","Here Comes Goodbye","Rascal Flatts"
"2000","3.23","Years 2000-2009","Dirty Little Secret","The All-American Rejects"
"2000","4.84","Years 2000-2009","Without Me","Eminem"
"2000","4","Years 2000-2009","I Don't Wanna Stop","Ozzy Osbourne"
"2000","3.51","Years 2000-2009","Lo Que Me Gusta A Mi","Juanes"
"2000","4.74","Years 2000-2009","Stay","Sugarland"
"2000","4.44","Years 2000-2009","Naked","Marques Houston"
"2000","3.42","Years 2000-2009","Alive","P.O.D."
"2000","4.06","Years 2000-2009","Take A Message","Remy Shand"
"2000","4.56","Years 2000-2009","I Turn To You","Christina Aguilera"
"2000","4.86","Years 2000-2009","Caught Out There","Kelis"
"2000","3.83","Years 2000-2009","Bring Out The Freak In You","Lil Rob"
"2000","3.86","Years 2000-2009","Again","Lenny Kravitz"
"2000","3.99","Years 2000-2009","I Try","Macy Gray"
"2000","5.08","Years 2000-2009","Love","Musiq Soulchild"
"2000","3.16","Years 2000-2009","Wind It Up","Gwen Stefani"
"2000","5.18","Years 2000-2009","All Good Things (Come To An End)","Nelly Furtado"
"2000","3.23","Years 2000-2009","Fake It","Seether"
"2000","3.75","Years 2000-2009","More Than That","Backstreet Boys"
"2000","3.34","Years 2000-2009","Mirror Mirror","M2M"
"2000","3.17","Years 2000-2009","Pictures Of You","The Last Goodnight"
"2000","3.13","Years 2000-2009","Jenny From The Block","Jennifer Lopez Featuring Styles & Jadakiss"
"2000","3.3","Years 2000-2009","Number One","Pharrell Featuring Kanye West"
"2000","3.51","Years 2000-2009","Check On It","Beyonce Featuring Slim Thug"
"2000","3.4","Years 2000-2009","Big Green Tractor","Jason Aldean"
"2000","3.78","Years 2000-2009","Freaky Gurl","Gucci Mane"
"2000","5.4","Years 2000-2009","Magnificent","U2"
"2000","4.81","Years 2000-2009","Crying Out For Me","Mario"
"2000","4.43","Years 2000-2009","Steal My Sunshine","Len"
"2000","4.06","Years 2000-2009","U Know What's Up","Donell Jones"
"2000","4.17","Years 2000-2009","Between Me And You","Ja Rule Featuring Christina Milian"
"2000","3.16","Years 2000-2009","Things That Never Cross A Man's Mind","Kellie Pickler"
"2000","3.78","Years 2000-2009","In Another World","Joe Diffie"
