"year","duration","years","track","artist"
"2000","4.39","Years 2000-2009","Naggin","Ying Yang Twins"
"2000","4","Years 2000-2009","Way Of Life","Lil Wayne"
"2000","3.63","Years 2000-2009","Hips Don't Lie","Shakira Featuring Wyclef Jean"
"2000","4.12","Years 2000-2009","Hanginaround","Counting Crows"
"2000","4.52","Years 2000-2009","Say My Name","Destiny's Child"
"2000","4.03","Years 2000-2009","Shuttin' Detroit Down","John Rich"
"2000","3.59","Years 2000-2009","I Am Mine","Pearl Jam"
"2000","3.37","Years 2000-2009","Year 3000","Jonas Brothers"
"2000","4.28","Years 2000-2009","Don't Bother","Shakira"
"2000","3.68","Years 2000-2009","Little Moments","Brad Paisley"
"2000","3.17","Years 2000-2009","Teenage Love Affair","Alicia Keys"
"2000","4.63","Years 2000-2009","The World's Greatest","R. Kelly"
"2000","5.21","Years 2000-2009","The Adventure","Angels & Airwaves"
"2000","2.62","Years 2000-2009","One Step Closer","Linkin Park"
"2000","4.57","Years 2000-2009","She Got It","2 Pistols Featuring T-Pain & Tay Dizm"
"2000","4.72","Years 2000-2009","24's","T.I."
"2000","5.59","Years 2000-2009","Been There","Clint Black With Steve Wariner"
"2000","3.61","Years 2000-2009","Make Her Say","Kid Cudi Featuring Kanye West & Common"
"2000","4.31","Years 2000-2009","Move Ya Body","Nina Sky Featuring Jabba"
"2000","3.68","Years 2000-2009","Man To Man","Gary Allan"
"2000","3.49","Years 2000-2009","Rhythm Divine","Enrique Iglesias"
"2000","3.65","Years 2000-2009","Freeze","T-Pain Featuring Chris Brown"
"2000","3.46","Years 2000-2009","Chain Hang Low","Jibbs"
"2000","4.97","Years 2000-2009","Beautiful","Snoop Dogg Featuring Pharrell & Uncle Charlie Wilson"
"2000","4.41","Years 2000-2009","No Air","Jordin Sparks Duet With Chris Brown"
"2000","3.6","Years 2000-2009","If My Heart Had Wings","Faith Hill"
"2000","4.24","Years 2000-2009","Lost Without U","Robin Thicke"
"2000","3.25","Years 2000-2009","River Of Love","George Strait"
"2000","3.84","Years 2000-2009","This Is My Now","Jordin Sparks"
"2000","3.97","Years 2000-2009","Beautiful Love","The Afters"
"2000","4.08","Years 2000-2009","100 Years","Five For Fighting"
"2000","3.86","Years 2000-2009","No Such Thing","John Mayer"
"2000","3.62","Years 2000-2009","King Of The Dancehall","Beenie Man"
"2000","4.05","Years 2000-2009","All My Friends Say","Luke Bryan"
"2000","3.7","Years 2000-2009","Forgot About Dre","Dr. Dre Featuring Eminem"
"2000","3.95","Years 2000-2009","I Know You Want Me (Calle Ocho)","Pitbull"
"2000","3.46","Years 2000-2009","Someday","Nickelback"
"2000","4.28","Years 2000-2009","I Belong To You","Lenny Kravitz"
"2000","4.08","Years 2000-2009","The Cowboy In Me","Tim McGraw"
"2000","3.82","Years 2000-2009","Killa","Cherish Featuring Yung Joc"
"2000","3.85","Years 2000-2009","Are You Happy Now?","Michelle Branch"
"2000","4.53","Years 2000-2009","Beer In Mexico","Kenny Chesney"
"2000","4.47","Years 2000-2009","Trading Places","Usher"
"2000","4.12","Years 2000-2009","Nasty Girl","Nitty"
"2000","3.27","Years 2000-2009","La La Land","Demi Lovato"
"2000","4.04","Years 2000-2009","Just Fine","Mary J. Blige"
"2000","3.66","Years 2000-2009","Stay The Night","IMx"
"2000","3.41","Years 2000-2009","Teardrops On My Guitar","Taylor Swift"
"2000","6.3","Years 2000-2009","I Wish You'd Stay","Brad Paisley"
"2000","3.49","Years 2000-2009","Shawty Get Loose","Lil Mama Featuring Chris Brown & T-Pain"
"2000","3.24","Years 2000-2009","Vertigo","U2"
"2000","3.45","Years 2000-2009","Remedy","Seether"
"2000","3.15","Years 2000-2009","You're A Jerk","New Boyz"
"2000","2.95","Years 2000-2009","Big Blue Note","Toby Keith"
"2000","3.49","Years 2000-2009","Puppy Love","Lil Bow Wow Featuring Jagged Edge"
"2000","4.61","Years 2000-2009","One Call Away","Chingy Featuring J. Weav"
"2000","3.68","Years 2000-2009","Telephone","Lady Gaga Featuring Beyonce"
"2000","4.11","Years 2000-2009","Don't Make Me","Blake Shelton"
"2000","3.69","Years 2000-2009","What You Waiting For?","Gwen Stefani"
"2000","3.46","Years 2000-2009","Stickwitu","The Pussycat Dolls"
"2000","4.33","Years 2000-2009","Whats Happnin!","Ying Yang Twins Featuring Trick Daddy"
"2000","3.63","Years 2000-2009","Right Here (Departed)","Brandy"
"2000","5.09","Years 2000-2009","Give Me You","Mary J. Blige"
"2000","3.51","Years 2000-2009","Lost In This Moment","Big & Rich"
"2000","3.37","Years 2000-2009","Outrageous","Britney Spears"
"2000","2.91","Years 2000-2009","Mad World","Adam Lambert"
"2000","3.96","Years 2000-2009","Oops (Oh My)","Tweet"
"2000","3.62","Years 2000-2009","Fall","Clay Walker"
"2000","4.57","Years 2000-2009","Number One Spot","Ludacris"
"2000","3.87","Years 2000-2009","Carry Out","Timbaland Featuring Justin Timberlake"
"2000","3.16","Years 2000-2009","4 Minutes","Madonna Featuring Justin Timberlake & Timbaland"
"2000","4.12","Years 2000-2009","When I Get Where I'm Going","Brad Paisley Featuring Dolly Parton"
"2000","4.06","Years 2000-2009","Cupid's Chokehold/Breakfast In America","Gym Class Heroes Featuring Patrick Stump"
"2000","4.04","Years 2000-2009","Officially Missing You","Tamia"
"2000","4.19","Years 2000-2009","Goodbye To You","Michelle Branch"
"2000","3.97","Years 2000-2009","One Last Breath","Creed"
"2000","4.27","Years 2000-2009","D.O.A. (Death Of Auto-Tune)","JAY-Z"
"2000","3.99","Years 2000-2009","Gangsta Lovin'","Eve Featuring Alicia Keys"
"2000","4.74","Years 2000-2009","The Real Slim Shady","Eminem"
"2000","4.22","Years 2000-2009","Just A Little While","Janet Jackson"
"2000","5.35","Years 2000-2009","Gots Ta Be","B2K"
"2000","4","Years 2000-2009","Into The Ocean","Blue October"
"2000","4.82","Years 2000-2009","Don't Say Goodbye","Paulina Rubio"
"2000","4.54","Years 2000-2009","Wipe Me Down","Lil Boosie Featuring Foxx & Webbie"
"2000","3.63","Years 2000-2009","Swing","Savage Featuring Soulja Boy Tell'em"
"2000","3.79","Years 2000-2009","Castles In The Sky","Ian Van Dahl Featuring Marsha"
"2000","4.27","Years 2000-2009","Can't Stop Loving You","Phil Collins"
"2000","4.24","Years 2000-2009","I'm A Thug","Trick Daddy"
"2000","3.49","Years 2000-2009","She Loves Me Not","Papa Roach"
"2000","5.96","Years 2000-2009","Forever","""Drake Featuring Kanye West, Lil Wayne & Eminem"""
"2000","3.1","Years 2000-2009","Don't Know Why","Norah Jones"
"2000","3.58","Years 2000-2009","Girl Talk","TLC"
"2000","5.04","Years 2000-2009","Mad Season","matchbox twenty"
"2000","3.49","Years 2000-2009","""No Shoes, No Shirt, No Problems""","Kenny Chesney"
"2000","4.12","Years 2000-2009","I Love You This Much","Jimmy Wayne"
"2000","3.41","Years 2000-2009","Kiss The Girl","Ashley Tisdale"
"2000","4.04","Years 2000-2009","We Need A Resolution","Aaliyah Featuring Timbaland"
"2000","4.4","Years 2000-2009","Working Class Hero","Green Day"
"2000","3.69","Years 2000-2009","Sexy Love","Ne-Yo"
"2000","4.13","Years 2000-2009","I Need You","Tim McGraw With Faith Hill"
"2000","3.84","Years 2000-2009","Brokenheartsville","Joe Nichols"
"2000","5.5","Years 2000-2009","Californication","Red Hot Chili Peppers"
"2000","4.19","Years 2000-2009","Gimme More","Britney Spears"
"2000","3.31","Years 2000-2009","Shackles (Praise You)","Mary Mary"
"2000","2.89","Years 2000-2009","Harder To Breathe","Maroon 5"
"2000","4.47","Years 2000-2009","Freaks","Play-N-Skillz Featuring Krayzie Bone & Adina Howard"
"2000","2.99","Years 2000-2009","Wait (The Whisper Song)","Ying Yang Twins"
"2000","4.68","Years 2000-2009","O","Omarion"
"2000","3.85","Years 2000-2009","Use Somebody","Kings Of Leon"
"2000","3.71","Years 2000-2009","Into The Night","Santana Featuring Chad Kroeger"
"2000","4.46","Years 2000-2009","Give Me That","Webbie Featuring Bun B"
"2000","4.01","Years 2000-2009","Right Now (Na Na Na)","Akon"
"2000","4.24","Years 2000-2009","Hey Stephen","Taylor Swift"
"2000","3.82","Years 2000-2009","Get Buck In Here","""DJ Felli Fel Featuring Diddy, Akon, Ludacris & Lil Jon"""
"2000","3.13","Years 2000-2009","Ballin' Out Of Control","Jermaine Dupri Featuring Nate Dogg"
"2000","3.5","Years 2000-2009","Energy","Keri Hilson"
"2000","4.04","Years 2000-2009","Obsessed","Mariah Carey"
"2000","3.56","Years 2000-2009","Baby By Me","50 Cent Featuring Ne-Yo"
"2000","3.49","Years 2000-2009","Give It Away","George Strait"
"2000","4.15","Years 2000-2009","Collide","Howie Day"
"2000","3.56","Years 2000-2009","We Thuggin'","Fat Joe Featuring R. Kelly"
"2000","4.88","Years 2000-2009","I Need A Hot Girl","Hot Boys"
"2000","4.25","Years 2000-2009","Dude","Beenie Man Featuring Ms. Thing"
"2000","4.17","Years 2000-2009","Tell Her","Lonestar"
"2000","3.39","Years 2000-2009","Homecoming","Kanye West Featuring Chris Martin"
"2000","4.07","Years 2000-2009","Wave On Wave","Pat Green"
"2000","4.17","Years 2000-2009","Just For You","Lionel Richie"
"2000","3.4","Years 2000-2009","Me Love","Sean Kingston"
"2000","3.5","Years 2000-2009","""My, Oh My""","The Wreckers"
"2000","3.71","Years 2000-2009","Jai Ho! (You Are My Destiny)","A R Rahman & The Pussycat Dolls Featuring Nicole Scherzinger"
"2000","3.72","Years 2000-2009","Bow Wow (That's My Name)","Lil Bow Wow"
"2000","3.68","Years 2000-2009","Something","Lasgo"
"2000","4.92","Years 2000-2009","The Whole World","OutKast Featuring Killer Mike"
"2000","4.19","Years 2000-2009","What About Now","Daughtry"
"2000","4.23","Years 2000-2009","Where I Wanna Be","Donell Jones"
"2000","4.18","Years 2000-2009","Wouldn't Get Far","The Game Featuring Kanye West"
"2000","4.45","Years 2000-2009","Don't Stop The Music","Rihanna"
"2000","4.36","Years 2000-2009","The Hand Clap","Hurricane Chris Featuring Big Poppa"
"2000","3.8","Years 2000-2009","Would You Go With Me","Josh Turner"
"2000","4.65","Years 2000-2009","No One Knows","Queens Of The Stone Age"
"2000","3.47","Years 2000-2009","You","Ryan Duarte"
"2000","5.57","Years 2000-2009","I Wish","R. Kelly"
"2000","3.39","Years 2000-2009","Sleep On It","Danity Kane"
"2000","3.63","Years 2000-2009","What Do Ya Think About That","Montgomery Gentry"
"2000","3.73","Years 2000-2009","Gallery","Mario Vazquez"
"2000","5.01","Years 2000-2009","Live Like You Were Dying","Tim McGraw"
"2000","4.72","Years 2000-2009","Some Cut","Trillville Featuring Cutty"
"2000","3.27","Years 2000-2009","""Whenever, Wherever""","Shakira"
"2000","4.1","Years 2000-2009","Dreaming With A Broken Heart","John Mayer"
"2000","3.66","Years 2000-2009","Conceited (There's Something About Remy)","Remy Ma"
"2000","5.07","Years 2000-2009","Air Force Ones","""Nelly Featuring Kyjuan, Ali & Murphy Lee"""
"2000","3.39","Years 2000-2009","About Us","Brooke Hogan Featuring Paul Wall"
"2000","4.16","Years 2000-2009","Love Remains The Same","Gavin Rossdale"
"2000","3.61","Years 2000-2009","La Camisa Negra","Juanes"
"2000","2.92","Years 2000-2009","Lying From You","Linkin Park"
"2000","5.58","Years 2000-2009","Snow ((Hey Oh))","Red Hot Chili Peppers"
"2000","3.95","Years 2000-2009","Never Let You Go","Third Eye Blind"
"2000","5.21","Years 2000-2009","Love's The Only House","Martina McBride"
"2000","4.28","Years 2000-2009","Never Say Never","The Fray"
"2000","3.28","Years 2000-2009","Switch","Will Smith"
"2000","4.03","Years 2000-2009","You Found Me","The Fray"
"2000","3.94","Years 2000-2009","Signs","Snoop Dogg Featuring Charlie Wilson & Justin Timberlake"
"2000","4.24","Years 2000-2009","Who You'd Be Today","Kenny Chesney"
"2000","3.26","Years 2000-2009","Halfway Gone","Lifehouse"
"2000","3.1","Years 2000-2009","Where The Blacktop Ends","Keith Urban"
"2000","5.08","Years 2000-2009","Sometimes You Can't Make It On Your Own","U2"
"2000","4.43","Years 2000-2009","Differences","Ginuwine"
"2000","2.92","Years 2000-2009","Dance Tonight","Paul McCartney"
"2000","5.19","Years 2000-2009","Georgia Rain","Trisha Yearwood"
"2000","3.81","Years 2000-2009","Hit The Freeway","Toni Braxton Featuring Loon"
"1990","4.48","Years 1990-1999","One More Chance/Stay With Me","The Notorious B.I.G."
"1990","3.76","Years 1990-1999","Sweet Thing","Mary J. Blige"
"1990","4.43","Years 1990-1999","Steal My Sunshine","Len"
"1990","4.06","Years 1990-1999","U Know What's Up","Donell Jones"
"1990","3.88","Years 1990-1999","Little Miss Can't Be Wrong","Spin Doctors"
"1990","4.32","Years 1990-1999","I Get Around","2Pac"
"1990","5.86","Years 1990-1999","Inside That I Cried","CeCe Peniston"
"1990","8.09","Years 1990-1999","Fired Up!","Funky Green Dogs"
"1990","3.8","Years 1990-1999","On And On","Shyheim"
"1990","4.21","Years 1990-1999","""Streets Of Philadelphia (From """"Philadelphia"""")""","Bruce Springsteen"
"1990","4.12","Years 1990-1999","Hanginaround","Counting Crows"
"1990","3.51","Years 1990-1999","Sesame's Treet","Smart E's"
"1990","4.86","Years 1990-1999","What If I Said","Anita Cochran (Duet With Steve Wariner)"
"1990","3.47","Years 1990-1999","Games People Play","Inner Circle"
"1990","5.39","Years 1990-1999","Tonite","DJ Quik"
"1990","4.56","Years 1990-1999","Money's Just A Touch Away","Mack 10 Featuring Gerald Levert"
"1990","3.49","Years 1990-1999","Rhythm Divine","Enrique Iglesias"
"1990","4.08","Years 1990-1999","Finally","CeCe Peniston"
"1990","5","Years 1990-1999","Before I Let You Go","BLACKstreet"
"1990","4.31","Years 1990-1999","Wonderwall","Oasis"
"1990","4.32","Years 1990-1999","Girls & Boys","Blur"
"1990","3.88","Years 1990-1999","""Another You, Another Me""","Brady Seals"
"1990","3.77","Years 1990-1999","Ironic","Alanis Morissette"
"1990","5.76","Years 1990-1999","Together Forever","Lisette Melendez"
"1990","4.52","Years 1990-1999","Drive","R.E.M."
"1990","3.81","Years 1990-1999","6 Underground","Sneaker Pimps"
"1990","4.37","Years 1990-1999","Love You Down","INOJ/LATHUN"
"1990","3.41","Years 1990-1999","Mother","Danzig"
"1990","5.08","Years 1990-1999","Honey Love","R. Kelly & Public Announcement"
"1990","4.39","Years 1990-1999","I Like It (I Wanna Be Where You Are)","Grand Puba"
"1990","3.66","Years 1990-1999","Stay The Night","IMx"
"1990","5.27","Years 1990-1999","""Hearts In Trouble (From """"Days Of Thunder"""")""","Chicago"
"1990","4.42","Years 1990-1999","That's Just What You Are","Aimee Mann"
"1990","4.83","Years 1990-1999","Don't Look Back In Anger","Oasis"
"1990","3.43","Years 1990-1999","How Do You Sleep At Night","Wade Hayes"
"1990","5.06","Years 1990-1999","Passin' Me By","The Pharcyde"
"1990","3.88","Years 1990-1999","Everyotherday","Or-N-More (Featuring Father M.C.)"
"1990","3.97","Years 1990-1999","Turn It Up [Remix]/Fire It Up","Busta Rhymes"
"1990","4.38","Years 1990-1999","Jellyhead","Crush"
"1990","3.53","Years 1990-1999","Ain't Seen Love Like That","Mr. Big"
"1990","4.69","Years 1990-1999","Girl I Am Searching For You","Stevie B"
"1990","4.33","Years 1990-1999","Endless Love","Luther Vandross & Mariah Carey"
"1990","4.03","Years 1990-1999","Falling","Montell Jordan"
"1990","3.55","Years 1990-1999","Blind Faith","Warrant"
"1990","1.9","Years 1990-1999","Jigga My N****","JAY-Z"
"1990","5.27","Years 1990-1999","Innocent","The Whispers"
"1990","4.29","Years 1990-1999","High And Dry","Radiohead"
"1990","3.68","Years 1990-1999","I Do","Lisa Loeb"
"1990","5.39","Years 1990-1999","If It Makes You Happy","Sheryl Crow"
"1990","3.87","Years 1990-1999","I've Been Thinking About You","Jocelyn Enriquez"
"1990","4.05","Years 1990-1999","Electric Boogie","Marcia Griffiths"
"1990","4.09","Years 1990-1999","More Than This","""10,000 Maniacs"""
"1990","3.94","Years 1990-1999","Body & Soul","Anita Baker"
"1990","4.41","Years 1990-1999","The Rhythm Of The Night","Corona"
"1990","4.69","Years 1990-1999","You Don't Have To Worry","Mary J. Blige"
"1990","5.49","Years 1990-1999","She Talks To Angels","The Black Crowes"
"1990","6.21","Years 1990-1999","I Will Survive","Chantay Savage"
"1990","4.54","Years 1990-1999","Did You Ever Think","R. Kelly"
"1990","3.91","Years 1990-1999","Talk To Me","Anita Baker"
"1990","4.37","Years 1990-1999","Nobody's Supposed To Be Here","Deborah Cox"
"1990","2.36","Years 1990-1999","Unbelievable","Diamond Rio"
"1990","6.09","Years 1990-1999","Over And Over","Pajama Party"
"1990","4.11","Years 1990-1999","Blackberry Molasses","Mista"
"1990","3.75","Years 1990-1999","Danger","Blahzay Blahzay"
"1990","4.85","Years 1990-1999","Short Dick Man","20 Fingers Featuring Gillette"
"1990","4.11","Years 1990-1999","I Can't Get Over You","Brooks & Dunn"
"1990","3.82","Years 1990-1999","Love Ain't Like That","Faith Hill"
"1990","3.5","Years 1990-1999","Mint Car","The Cure"
"1990","4.29","Years 1990-1999","When Love & Hate Collide","Def Leppard"
"1990","4.18","Years 1990-1999","Take This Heart","Richard Marx"
"1990","5.47","Years 1990-1999","Tender Kisses","Tracie Spencer"
"1990","3.94","Years 1990-1999","Ordinary Life","Chad Brock"
"1990","3.95","Years 1990-1999","Cumbersome","Seven Mary Three"
"1990","4.87","Years 1990-1999","Ha","Juvenile"
"1990","4.12","Years 1990-1999","Maybe Not Tonight","Sammy Kershaw & Lorrie Morgan"
"1990","4.48","Years 1990-1999","Creep","TLC"
"1990","3.83","Years 1990-1999","Can't Stop Falling Into Love","Cheap Trick"
"1990","4.5","Years 1990-1999","I Wanna Be There","Blessid Union Of Souls"
"1990","5.91","Years 1990-1999","Bohemian Rhapsody","Queen"
"1990","3.8","Years 1990-1999","I Know","Dionne Farris"
"1990","3.68","Years 1990-1999","Mass Appeal","Gang Starr"
"1990","4.87","Years 1990-1999","4 Seasons Of Loneliness","Boyz II Men"
"1990","3.92","Years 1990-1999","From This Moment On","Shania Twain"
"1990","4.19","Years 1990-1999","Doin' Time","Sublime"
"1990","4.51","Years 1990-1999","""Money, Power & Respect""","The Lox [Featuring DMX & Lil' Kim]"
"1990","3.99","Years 1990-1999","Remember The Time","Michael Jackson"
"1990","4.73","Years 1990-1999","Gangsta Bitch","Apache"
"1990","4.37","Years 1990-1999","Violence Of Summer (Love's Taking Over)","Duran Duran"
"1990","4.88","Years 1990-1999","Too Late To Say Goodbye","Richard Marx"
"1990","3.62","Years 1990-1999","No Place That Far","Sara Evans"
"1990","4.89","Years 1990-1999","Epic","Faith No More"
"1990","4.22","Years 1990-1999","He's Mine","MoKenStef"
"1990","5.04","Years 1990-1999","Make Em' Say Uhh!","""Master P Feat. Fiend, Silkk The Shocker, Mia X & Mystikal"""
"1990","5.03","Years 1990-1999","In The Hood","Donell Jones"
"1990","4.78","Years 1990-1999","Slowly","Stacy Earl"
"1990","3.8","Years 1990-1999","Back To Life","Soul II Soul"
"1990","5.26","Years 1990-1999","Bill","Peggy Scott-Adams"
"1990","4.54","Years 1990-1999","Where The Streets Have No Name","Pet Shop Boys"
"1990","3.84","Years 1990-1999","Who You Are","Pearl Jam"
"1990","4.21","Years 1990-1999","I Live By The Groove","Paul Carrack"
"1990","1.51","Years 1990-1999","God Bless The Child","Shania Twain"
"1990","4.1","Years 1990-1999","What'd You Come Here For?","Trina & Tamara"
"1990","6.32","Years 1990-1999","Let's Make A Night To Remember","Bryan Adams"
"1990","4.86","Years 1990-1999","Get It Together","702"
"1990","4.95","Years 1990-1999","Time","Hootie & The Blowfish"
"1990","4.3","Years 1990-1999","Here Come The Lords","Lords Of The Underground"
"1990","5.68","Years 1990-1999","I Got A Thang 4 Ya!","Lo-Key?"
"1990","6.45","Years 1990-1999","The Unforgiven","Metallica"
"1990","4.25","Years 1990-1999","Down So Long","Jewel"
"1990","5.04","Years 1990-1999","You're The Voice","John Farnham"
"1990","4.16","Years 1990-1999","Looking Through Patient Eyes","P.M. Dawn"
"1990","2.83","Years 1990-1999","The Shoop Shoop Song (It's In His Kiss)","Cher"
"1990","3","Years 1990-1999","What Do You Say To That","George Strait"
"1990","7.34","Years 1990-1999","Havana","Kenny G"
"1990","3.73","Years 1990-1999","The One And Only","Chesney Hawkes"
"1990","5.33","Years 1990-1999","How Can I Ease The Pain","Lisa Fischer"
"1990","5.2","Years 1990-1999","Not Enough","Van Halen"
"1990","4.35","Years 1990-1999","Higher Ground","UB40"
"1990","4.08","Years 1990-1999","Days Like These","Asia"
"1990","4.86","Years 1990-1999","Tide Is High","Angelina"
"1990","4.18","Years 1990-1999","Comforter","Shai"
"1990","5.64","Years 1990-1999","Can I Stay With You","Karyn White"
"1990","6.51","Years 1990-1999","Freedom","George Michael"
"1990","3.48","Years 1990-1999","Wild World","Mr. Big"
"1990","4.48","Years 1990-1999","Nothing Really Matters","Madonna"
"1990","4.13","Years 1990-1999","A Little Bit Of Ecstasy","Jocelyn Enriquez"
"1990","4.34","Years 1990-1999","Hay","Crucial Conflict"
"1990","5.09","Years 1990-1999","Undone - The Sweater Song","Weezer"
"1990","4.72","Years 1990-1999","Love Is A Wonderful Thing","Michael Bolton"
"1990","4.92","Years 1990-1999","Shorty (You Keep Playin' With My Mind)","Imajin Featuring Keith Murray"
"1990","4.84","Years 1990-1999","Sweet Lady","Tyrese"
"1990","3.94","Years 1990-1999","Say... If You Feel Alright","Crystal Waters"
"1990","5.25","Years 1990-1999","Let's Get The Mood Right","Johnny Gill"
"1990","3","Years 1990-1999","How Do You Fall In Love","Alabama"
"1990","3.78","Years 1990-1999","Missing You","Brooks & Dunn"
"1990","4.68","Years 1990-1999","How Much Love","Vixen"
"1990","4.33","Years 1990-1999","Fu-Gee-La","Fugees"
"1990","4.23","Years 1990-1999","I Don't Have The Heart","James Ingram"
"1990","5.35","Years 1990-1999","Anything","3T"
"1990","5.51","Years 1990-1999","L.A. Woman","Billy Idol"
"1990","4.3","Years 1990-1999","Always Be My Baby","Mariah Carey"
"1990","3.84","Years 1990-1999","You're Amazing","Robert Palmer"
"1990","3.55","Years 1990-1999","On A Sunday Afternoon","Lighter Shade Of Brown"
"1990","3.38","Years 1990-1999","Amish Paradise","""""""Weird Al"""" Yankovic"""
"1990","4.89","Years 1990-1999","Paper Doll","P.M. Dawn"
"1990","4.43","Years 1990-1999","Can't Get Enough Of Your Love","Taylor Dayne"
"1990","4.01","Years 1990-1999","Everlasting Love","Gloria Estefan"
"1990","4.76","Years 1990-1999","Last Night On Earth","U2"
"1990","3.45","Years 1990-1999","Bow Down","Westside Connection"
"1990","4.13","Years 1990-1999","Don't Wanna Fall In Love","Jane Child"
"1990","5.35","Years 1990-1999","Birmingham","Amanda Marshall"
"1990","3.64","Years 1990-1999","Enjoy Yourself","A+"
"1990","4.58","Years 1990-1999","Blue On Black","The Kenny Wayne Shepherd Band"
"1990","4.52","Years 1990-1999","Funky Child","Lords Of The Underground"
"1990","4.55","Years 1990-1999","Gangstas Make The World Go Round","Westside Connection"
"1990","4.3","Years 1990-1999","Pop That Coochie","The 2 Live Crew"
"1990","6.82","Years 1990-1999","Keep Coming Back","Richard Marx"
"1990","6.37","Years 1990-1999","Killer","Seal"
"1990","6.17","Years 1990-1999","Hole In My Soul","Aerosmith"
"1990","4.51","Years 1990-1999","Ava Adore","The Smashing Pumpkins"
"1990","3.76","Years 1990-1999","Rhythm Is A Dancer","Snap!"
"1990","5.16","Years 1990-1999","Across The River","Bruce Hornsby & The Range"
"1990","3.43","Years 1990-1999","She's Not Cryin' Anymore","Billy Ray Cyrus"
"1990","4.21","Years 1990-1999","""Girl, I've Been Hurt""","Snow"
